ROUTE,DAY,DELAY
ORD-HPN (Chicago OHare International  to Westchester County ),FRI,2671
ORD-ICT (Chicago OHare International  to Wichita Eisenhower National ),FRI,4791
ORD-AVP (Chicago OHare International  to Wilkes Barre Scranton International ),FRI,1141
ORD-OKC (Chicago OHare International  to Will Rogers World ),FRI,4934
ORD-CRW (Chicago OHare International  to Yeager ),FRI,1161
DFW-ABI (Dallas Fort Worth International  to Abilene Regional ),FRI,2885
DFW-SPI (Dallas Fort Worth International  to Abraham Lincoln Capital ),FRI,1140
DFW-ABQ (Dallas Fort Worth International  to Albuquerque International Sunport),FRI,3325
DFW-AEX (Dallas Fort Worth International  to Alexandria International ),FRI,1634
DFW-ASE (Dallas Fort Worth International  to Aspen-Pitkin Co/Sardy Field),FRI,1645
DFW-AUS (Dallas Fort Worth International  to Austin Bergstrom International ),FRI,9296
DFW-BWI (Dallas Fort Worth International  to Baltimore/Washington International Thurgood Marshall ),FRI,4262
DFW-BTR (Dallas Fort Worth International  to Baton Rouge Metropolitan ),FRI,5222
DFW-LIT (Dallas Fort Worth International  to Bill & Hillary Clinton National /Adams Field),FRI,2405
DFW-BHM (Dallas Fort Worth International  to Birmingham-Shuttlesworth International ),FRI,1144
DFW-BIS (Dallas Fort Worth International  to Bismarck Municipal ),FRI,582
DFW-LEX (Dallas Fort Worth International  to Blue Grass ),FRI,1863
DFW-BDL (Dallas Fort Worth International  to Bradley International ),FRI,727
